               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044486,            0.066489,            0.021419,             0.63246,             0.47301,             0.50584,             0.31644,            0.044713,            0.051732,            0.018774,            0.070002,           0.0033331,           0.0033331
                   1,            0.046058,            0.067812,            0.022947,             0.60568,             0.46593,             0.49413,             0.30722,            0.045129,            0.051926,            0.019302,             0.03987,           0.0065344,           0.0065344
                   2,            0.049175,            0.070465,            0.026951,             0.58906,             0.44625,             0.47509,              0.2904,            0.046066,            0.052651,            0.020356,            0.009606,           0.0096038,           0.0096038
                   3,            0.051181,             0.07248,            0.030382,              0.5906,             0.44033,             0.47059,             0.28786,             0.04643,            0.052825,            0.020641,            0.009406,            0.009406,            0.009406
                   4,            0.050824,            0.072145,            0.029589,              0.5947,             0.44289,             0.47682,             0.29419,            0.046049,            0.052635,             0.02018,            0.009406,            0.009406,            0.009406
                   5,            0.050533,            0.072369,            0.029227,             0.58554,             0.45862,             0.48102,             0.29741,            0.045861,             0.05243,             0.01994,            0.009208,            0.009208,            0.009208
                   6,            0.050595,            0.072106,            0.029584,             0.60471,             0.45306,             0.48715,             0.30284,            0.045507,            0.052135,            0.019695,             0.00901,             0.00901,             0.00901
                   7,            0.050271,            0.071557,            0.029122,             0.61377,             0.45459,             0.49288,             0.30685,            0.045264,            0.051961,            0.019367,            0.008812,            0.008812,            0.008812
                   8,            0.050081,            0.071769,            0.028717,              0.6155,             0.46208,             0.49675,             0.31074,            0.045083,            0.051833,            0.019158,            0.008614,            0.008614,            0.008614
                   9,            0.049925,            0.071686,            0.028376,             0.62451,              0.4607,             0.50097,             0.31335,            0.044935,             0.05179,            0.019023,            0.008416,            0.008416,            0.008416
                  10,            0.049737,            0.071619,            0.028157,             0.63004,             0.46153,             0.50243,             0.31523,             0.04482,            0.051731,            0.018904,            0.008218,            0.008218,            0.008218
                  11,            0.049599,             0.07116,            0.027979,              0.6316,             0.46293,              0.5049,             0.31685,            0.044731,            0.051671,            0.018804,             0.00802,             0.00802,             0.00802
                  12,             0.04955,            0.071345,            0.027653,             0.62897,             0.46436,             0.50604,             0.31832,            0.044659,            0.051626,            0.018724,            0.007822,            0.007822,            0.007822
                  13,            0.049397,            0.070956,            0.027559,             0.62777,             0.46726,             0.50758,             0.31935,            0.044602,            0.051592,            0.018665,            0.007624,            0.007624,            0.007624
                  14,            0.049203,            0.070915,            0.027265,             0.63374,             0.46571,             0.50853,             0.32049,            0.044564,            0.051555,            0.018604,            0.007426,            0.007426,            0.007426
                  15,            0.049193,             0.07098,            0.027422,             0.63214,             0.46696,             0.51009,             0.32143,            0.044522,            0.051517,            0.018544,            0.007228,            0.007228,            0.007228
