               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045252,            0.068485,            0.024208,             0.60851,             0.50345,             0.52635,             0.32995,            0.044315,            0.050567,            0.018894,            0.070003,            0.003333,            0.003333
                   1,             0.04779,            0.071013,            0.027178,             0.57084,             0.46623,             0.48247,             0.29169,            0.046519,            0.052286,            0.021415,            0.039871,           0.0065343,           0.0065343
                   2,            0.051546,            0.073263,            0.032671,             0.54179,              0.4019,              0.4193,             0.23811,            0.049683,            0.054239,            0.025168,           0.0096074,           0.0096036,           0.0096036
                   3,            0.054248,            0.075656,             0.03624,             0.54219,             0.39273,             0.41913,             0.24084,            0.049506,            0.053874,            0.024947,            0.009406,            0.009406,            0.009406
                   4,            0.053226,            0.074753,            0.034061,             0.56673,             0.39805,             0.42763,             0.24892,             0.04897,            0.053758,             0.02418,            0.009406,            0.009406,            0.009406
                   5,             0.05241,             0.07426,            0.032675,             0.55473,             0.42114,             0.44852,             0.26521,            0.048134,            0.053367,            0.023235,            0.009208,            0.009208,            0.009208
                   6,            0.051727,            0.073356,            0.031404,             0.57871,             0.42138,             0.45348,             0.27012,            0.047812,            0.053003,            0.022748,             0.00901,             0.00901,             0.00901
                   7,            0.051336,            0.072907,            0.030792,             0.59855,             0.42198,              0.4646,              0.2763,            0.047391,            0.052881,            0.022153,            0.008812,            0.008812,            0.008812
                   8,            0.050938,            0.072705,            0.029907,             0.58596,             0.43376,             0.46764,             0.28347,            0.046967,            0.052588,            0.021829,            0.008614,            0.008614,            0.008614
                   9,            0.050615,            0.072393,             0.02956,             0.58159,             0.44496,             0.47603,             0.28906,            0.046721,            0.052294,            0.021288,            0.008416,            0.008416,            0.008416
                  10,            0.050324,            0.071973,            0.029022,             0.59089,             0.44982,             0.48392,             0.29766,            0.046402,            0.052103,            0.021346,            0.008218,            0.008218,            0.008218
                  11,            0.050124,            0.071534,            0.028767,             0.60617,             0.44275,             0.48028,              0.2962,            0.046284,             0.05196,            0.021114,             0.00802,             0.00802,             0.00802
                  12,            0.049892,             0.07169,            0.028219,              0.5943,             0.45705,             0.48774,             0.30008,            0.045983,            0.051915,            0.020867,            0.007822,            0.007822,            0.007822
                  13,            0.049578,             0.07109,             0.02795,             0.62898,             0.44565,             0.49145,             0.30288,            0.045697,             0.05183,            0.020711,            0.007624,            0.007624,            0.007624
                  14,            0.049446,            0.071202,            0.027535,             0.61796,              0.4555,             0.49609,             0.30711,            0.045544,             0.05178,            0.020467,            0.007426,            0.007426,            0.007426
                  15,            0.049165,            0.070866,            0.027166,             0.62462,             0.44662,             0.49294,             0.30636,            0.045512,            0.051691,            0.020398,            0.007228,            0.007228,            0.007228
